,molecule_chembl_id,canonical_smiles,pIC50,fp
67,CHEMBL487517,Cc1cc(Nc2ccc(C(N)=O)cc2)n2ncnc2n1,3.6989700043360183,[0 0 0 ... 0 0 0]
68,CHEMBL486697,Cc1cc(N(Cc2ccccc2)c2ccc3ccccc3c2)n2ncnc2n1,4.031517051446065,[1 1 0 ... 0 0 0]
69,CHEMBL486490,Cc1cc(N(C)c2ccc3ccccc3c2)n2ncnc2n1,5.522878745280337,[0 0 0 ... 0 0 0]
70,CHEMBL486489,Cc1nc2ncnn2c(Nc2ccc3ccccc3c2)c1C,6.795880017344075,[0 0 0 ... 0 0 0]
71,CHEMBL484294,CCc1cc(Nc2ccc3ccccc3c2)n2ncnc2n1,6.721246399047171,[1 1 0 ... 0 0 0]
72,CHEMBL519836,FC(F)(F)c1cc(Nc2ccc3ccccc3c2)n2ncnc2n1,6.6777807052660805,[0 0 0 ... 0 0 0]
73,CHEMBL1450,O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,5.0,[1 1 1 ... 0 0 0]
74,CHEMBL567597,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@]32OO4,5.0,[0 0 0 ... 0 0 0]
75,CHEMBL275638,O=c1cc(-c2ccccc2)oc2ccccc12,5.0,[0 0 0 ... 0 0 0]
76,CHEMBL429023,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,5.0,[1 0 0 ... 0 0 0]
77,CHEMBL481680,c1ccc([I+]c2ccccc2)cc1,5.0,[0 0 0 ... 0 0 0]
78,CHEMBL397686,c1ccc2c(c1)[I+]c1ccccc1-2,5.0,[0 0 0 ... 0 0 0]
79,CHEMBL224182,CCCCCCCCCCCCc1cc(=O)c2ccccc2n1O,5.3979400086720375,[1 1 1 ... 0 0 0]
80,CHEMBL211501,CCCCCC[C@H]1C(=O)O[C@H](C)[C@H](NC(=O)c2cccc(NC=O)c2O)C(=O)O[C@@H](C)[C@@H]1OC(=O)CC(C)C,5.0,[1 1 1 ... 0 0 0]
81,CHEMBL483995,CCOc1cccc(-c2ccc(NC(=O)/C(C#N)=C(/C)O)cc2)c1,3.7389751660076023,[1 1 0 ... 0 0 0]
82,CHEMBL483994,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2)cc1Cl,4.291579099865287,[0 0 0 ... 0 0 0]
83,CHEMBL484531,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2Cl)cc1,4.324221658325915,[0 0 0 ... 0 0 0]
84,CHEMBL505315,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2cccc(Cl)c2Cl)cc1,4.565431095965801,[0 0 0 ... 1 0 0]
85,CHEMBL520008,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2cccc(Cl)c2)c(Cl)c1,3.625985259708088,[0 0 0 ... 1 0 0]
86,CHEMBL484780,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2Cl)c(Cl)c1,3.7825160557860937,[0 0 0 ... 1 0 0]
87,CHEMBL484602,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2cccc(Cl)c2)cc1C(F)(F)F,4.242603971206976,[0 0 0 ... 0 0 0]
88,CHEMBL484595,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2cccc(Cl)c2)cc1Cl,4.308918507877031,[0 0 0 ... 1 0 0]
89,CHEMBL484594,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2c(Cl)cccc2Cl)cc1Cl,4.991399828238082,[0 0 0 ... 1 1 0]
90,CHEMBL520999,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2cccc(Cl)c2Cl)cc1Cl,5.00436480540245,[0 0 0 ... 1 0 0]
91,CHEMBL483161,COc1ccccc1-c1ccc(NC(=O)/C(C#N)=C(/C)O)c(Cl)c1,5.0655015487564325,[0 0 0 ... 0 0 0]
92,CHEMBL520306,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2Cl)cc1C(F)(F)F,5.207608310501746,[0 0 0 ... 0 0 0]
